faculty_id,division_id,subject_id,time_slot_id,day_number,room_hashed,is_clash
4,8,11,7,4,101.0,1
4,5,9,7,4,202.0,1
7,8,5,7,4,105.0,1
4,5,8,4,1,202.0,1
4,5,6,4,1,105.0,1
6,5,7,4,1,105.0,1
4,9,11,3,2,201.0,1
6,8,8,3,2,203.0,1
7,7,7,3,2,101.0,1
4,7,5,3,1,201.0,1
5,6,10,3,1,103.0,1
4,6,8,3,1,102.0,1
4,9,10,4,0,202.0,1
6,8,11,4,0,203.0,1
4,6,9,4,0,101.0,1
4,5,11,4,1,102.0,1
6,5,10,4,1,103.0,1
6,9,11,4,1,105.0,1
4,6,11,4,1,93.0,1
4,5,11,4,1,202.0,1
4,9,6,4,1,105.0,1
4,7,5,3,0,202.0,1
7,8,7,3,0,103.0,1
5,7,9,3,0,105.0,1
4,8,11,6,3,104.0,1
5,5,5,6,3,93.0,1
7,8,6,6,3,105.0,1
4,8,10,3,1,203.0,1
7,6,8,3,1,105.0,1
6,5,11,3,1,102.0,1
4,9,6,6,3,104.0,1
7,5,7,6,3,101.0,1
4,9,5,6,3,105.0,1
4,8,5,6,0,103.0,1
7,5,8,6,0,101.0,1
6,6,9,6,0,101.0,1
4,5,9,3,1,105.0,1
7,6,9,3,1,103.0,1
5,7,6,3,1,102.0,1
4,5,10,3,2,102.0,1
6,8,6,3,2,93.0,1
6,6,8,3,2,101.0,1
4,6,8,3,2,104.0,1
7,8,10,3,2,102.0,1
6,7,9,3,2,101.0,1
4,6,8,5,0,201.0,1
5,8,5,5,0,105.0,1
7,7,11,5,0,101.0,1
4,6,11,4,0,103.0,1
7,8,9,4,0,93.0,1
5,9,9,4,0,101.0,1
4,5,5,3,0,102.0,1
4,8,8,3,0,202.0,1
4,9,7,3,0,105.0,1
4,9,9,4,0,102.0,1
5,8,6,4,0,101.0,1
5,8,10,4,0,101.0,1
4,7,9,3,2,105.0,1
7,8,5,3,2,101.0,1
5,9,10,3,2,101.0,1
4,7,8,6,0,104.0,1
6,5,5,6,0,202.0,1
4,9,5,6,0,101.0,1
4,5,5,6,0,202.0,1
6,5,11,6,0,103.0,1
7,6,9,6,0,101.0,1
4,8,10,4,1,201.0,1
4,5,11,4,1,104.0,1
6,8,6,4,1,105.0,1
4,6,6,3,0,103.0,1
6,8,8,3,0,105.0,1
7,7,9,3,0,105.0,1
4,5,11,3,1,93.0,1
7,6,5,3,1,105.0,1
6,6,6,3,1,102.0,1
4,9,9,3,2,101.0,1
5,8,6,3,2,203.0,1
6,9,9,3,2,101.0,1
4,6,8,3,0,202.0,1
6,8,5,3,0,93.0,1
6,9,9,3,0,105.0,1
4,8,11,4,0,201.0,1
7,8,10,4,0,203.0,1
5,8,5,4,0,101.0,1
4,5,6,5,2,93.0,1
4,5,6,5,2,93.0,1
6,8,9,5,2,105.0,1
4,9,10,3,1,102.0,1
6,6,9,3,1,103.0,1
7,9,9,3,1,102.0,1
4,9,6,4,0,201.0,1
6,8,6,4,0,203.0,1
4,8,5,4,0,101.0,1
4,6,6,3,1,203.0,1
5,6,10,3,1,202.0,1
7,5,5,3,1,102.0,1
4,6,9,3,2,93.0,1
7,8,5,3,2,202.0,1
4,8,9,3,2,101.0,1
4,9,9,6,0,103.0,1
4,5,8,6,0,203.0,1
7,7,11,6,0,101.0,1
4,7,9,5,0,104.0,1
6,8,8,5,0,203.0,1
7,8,10,5,0,101.0,1
4,7,6,4,1,203.0,1
7,5,6,4,1,93.0,1
7,9,8,4,1,105.0,1
4,8,9,7,4,93.0,1
6,5,11,7,4,202.0,1
6,8,10,7,4,105.0,1
4,8,6,6,3,203.0,1
6,5,8,6,3,102.0,1
7,8,9,6,3,105.0,1
4,8,11,5,0,202.0,1
4,8,5,5,0,102.0,1
4,6,8,5,0,101.0,1
4,5,5,4,1,104.0,1
7,5,5,4,1,103.0,1
4,8,11,4,1,105.0,1
4,9,11,4,1,105.0,1
7,5,6,4,1,201.0,1
7,5,11,4,1,105.0,1
4,9,9,3,1,101.0,1
7,6,8,3,1,203.0,1
4,7,6,3,1,102.0,1
4,8,8,3,2,202.0,1
4,8,9,3,2,102.0,1
7,5,8,3,2,101.0,1
4,6,8,3,0,102.0,1
7,8,10,3,0,201.0,1
7,8,7,3,0,105.0,1
4,5,9,3,1,104.0,1
6,6,6,3,1,105.0,1
5,9,9,3,1,102.0,1
4,6,9,4,1,101.0,1
5,5,11,4,1,105.0,1
4,6,5,4,1,105.0,1
7,6,7,6,4,201.0,0
4,5,7,3,5,202.0,0
6,9,11,9,2,104.0,0
4,6,6,9,4,201.0,0
6,7,8,8,1,203.0,0
6,5,9,8,5,102.0,0
6,5,10,4,4,103.0,0
4,5,7,4,4,104.0,0
6,6,6,10,5,101.0,0
5,5,7,5,0,104.0,0
7,6,5,9,2,203.0,0
6,5,6,4,0,201.0,0
4,5,8,3,3,103.0,0
7,5,10,5,1,203.0,0
5,8,11,5,4,102.0,0
7,7,7,3,3,104.0,0
7,8,11,7,1,202.0,0
7,8,5,7,2,105.0,0
7,9,10,6,1,102.0,0
4,5,5,10,4,102.0,0
7,8,8,6,3,93.0,0
4,5,5,9,5,203.0,0
7,6,6,8,1,203.0,0
4,8,5,5,5,103.0,0
5,6,9,7,2,202.0,0
4,5,7,7,5,202.0,0
6,8,8,10,1,105.0,0
7,7,8,4,0,103.0,0
4,9,10,8,0,102.0,0
4,5,6,6,5,93.0,0
4,5,7,3,4,104.0,0
6,8,8,4,4,93.0,0
5,6,10,5,3,105.0,0
7,9,10,4,1,93.0,0
4,5,10,10,5,201.0,0
7,7,11,6,4,101.0,0
4,7,10,5,1,103.0,0
6,8,7,9,1,101.0,0
7,6,5,3,2,201.0,0
6,9,9,5,5,202.0,0
5,9,10,6,5,105.0,0
4,8,6,8,2,201.0,0
7,9,11,6,3,93.0,0
5,5,6,5,0,202.0,0
5,6,5,4,4,105.0,0
6,7,10,7,3,105.0,0
7,6,7,10,4,105.0,0
5,5,8,8,5,102.0,0
5,7,7,4,5,102.0,0
5,7,10,8,2,103.0,0
5,5,9,10,1,105.0,0
5,7,5,8,1,93.0,0
5,5,10,5,0,105.0,0
7,7,5,9,5,201.0,0
5,9,11,8,4,102.0,0
7,7,7,7,5,103.0,0
6,5,5,4,5,103.0,0
6,5,11,10,4,102.0,0
5,9,10,8,2,101.0,0
7,6,8,4,1,93.0,0
5,9,8,5,0,93.0,0
6,6,6,6,4,201.0,0
6,7,10,4,0,103.0,0
6,9,8,4,2,104.0,0
6,6,7,5,3,101.0,0
7,9,7,7,4,93.0,0
4,6,5,8,0,102.0,0
4,8,7,9,5,201.0,0
5,6,9,5,3,102.0,0
4,7,9,7,1,102.0,0
6,6,8,7,2,202.0,0
6,9,6,6,0,201.0,0
4,5,5,8,0,104.0,0
7,9,8,6,0,201.0,0
5,5,7,7,2,202.0,0
7,6,8,8,5,201.0,0
5,5,11,10,2,104.0,0
7,6,9,7,0,102.0,0
6,5,5,7,1,105.0,0
6,9,6,9,2,202.0,0
6,6,5,10,3,202.0,0
4,6,10,3,5,201.0,0
7,7,11,6,1,105.0,0
5,8,8,9,2,201.0,0
6,5,10,9,5,101.0,0
5,5,5,5,1,203.0,0
6,9,5,6,5,201.0,0
4,7,6,7,1,104.0,0
7,8,8,7,4,93.0,0
5,7,11,8,5,104.0,0
7,6,7,3,0,101.0,0
5,7,10,4,0,93.0,0
7,9,7,6,1,202.0,0
7,7,8,4,3,202.0,0
5,8,6,10,0,202.0,0
5,9,11,8,0,201.0,0
6,5,6,9,5,102.0,0
4,7,6,8,3,201.0,0
7,9,11,3,0,101.0,0
5,7,6,9,5,93.0,0
5,8,7,7,3,103.0,0
7,7,7,4,4,201.0,0
7,9,6,7,4,93.0,0
7,7,5,4,0,202.0,0
5,9,7,5,3,105.0,0
4,9,5,10,5,102.0,0
6,7,7,8,0,103.0,0
6,8,6,6,0,105.0,0
4,5,11,5,4,201.0,0
5,9,9,4,0,201.0,0
7,7,7,7,4,93.0,0
4,5,7,9,2,102.0,0
7,8,7,5,2,93.0,0
6,6,8,6,4,203.0,0
7,7,6,7,2,93.0,0
7,9,10,4,0,103.0,0
5,9,9,7,1,102.0,0
4,5,8,9,4,93.0,0
5,9,7,6,5,101.0,0
4,7,10,8,5,203.0,0
6,6,10,10,3,105.0,0
7,9,11,6,3,93.0,0
4,7,5,5,3,102.0,0
4,9,8,9,5,202.0,0
7,7,11,5,1,93.0,0
5,6,7,5,3,104.0,0
4,9,8,6,4,202.0,0
7,9,10,8,1,104.0,0
6,9,6,8,4,104.0,0
7,9,10,3,0,101.0,0
5,9,6,6,0,201.0,0
7,5,8,10,4,103.0,0
4,6,7,8,1,102.0,0
7,6,7,5,2,93.0,0
4,6,11,7,5,103.0,0
7,8,11,8,4,201.0,0
4,8,10,9,0,101.0,0
4,5,9,8,2,101.0,0
4,8,6,9,1,201.0,0
4,5,8,6,1,203.0,0
5,5,6,3,2,102.0,0
7,9,5,7,3,103.0,0
4,6,9,7,3,104.0,0
4,5,11,9,5,105.0,0
7,5,10,5,3,202.0,0
7,8,6,7,5,101.0,0
7,7,7,6,3,93.0,0
4,7,11,7,5,105.0,0
4,9,10,5,3,102.0,0
7,8,8,6,1,203.0,0
5,6,7,6,2,103.0,0
4,9,11,5,1,103.0,0
4,6,10,9,3,105.0,0
7,9,7,10,0,101.0,0
4,5,7,4,3,202.0,0
5,8,7,8,2,93.0,0
7,8,10,6,3,93.0,0
7,9,6,5,2,93.0,0
4,6,11,4,3,93.0,0
6,7,6,5,5,201.0,0
5,5,6,4,0,103.0,0
7,6,10,6,3,93.0,0
5,7,7,9,5,103.0,0
7,5,5,5,4,104.0,0
6,9,9,6,1,93.0,0
6,6,5,9,2,201.0,0
6,7,6,9,5,103.0,0
4,8,10,9,5,102.0,0
5,6,7,3,4,104.0,0
6,7,9,3,4,203.0,0
6,7,5,3,3,203.0,0
5,5,7,3,2,93.0,0
6,7,7,6,1,202.0,0
5,9,8,8,4,103.0,0
4,7,8,8,0,93.0,0
7,7,7,8,5,105.0,0
7,6,8,6,3,93.0,0
7,9,8,7,5,203.0,0
6,7,7,3,1,103.0,0
5,8,8,10,1,202.0,0
7,9,6,5,2,93.0,0
5,8,9,8,0,104.0,0
7,9,6,4,3,104.0,0
7,7,6,3,1,104.0,0
7,7,11,9,4,101.0,0
4,6,11,9,0,102.0,0
4,8,7,10,1,93.0,0
4,8,8,7,3,102.0,0
7,7,11,5,2,93.0,0
4,6,9,6,4,102.0,0
5,8,7,10,1,201.0,0
6,9,9,4,0,103.0,0
4,7,10,9,5,103.0,0
7,7,6,10,5,93.0,0
4,8,10,10,3,203.0,0
6,7,10,6,1,104.0,0
4,6,8,8,0,104.0,0
5,6,8,6,4,201.0,0
6,8,5,5,1,102.0,0
7,7,6,5,2,93.0,0
